model,history_steps,local_grid,structured_output,max_steps,maze,has_loop,has_invalid,has_fallback,loop_rate,invalid_rate,fallback_rate
phi3:mini,10,1,0,80,,1,1,1,0.100000,0.275000,0.275000
phi3:mini,20,1,0,80,,1,1,1,0.062500,0.387500,0.312500
phi3:mini,20,1,0,80,,1,1,1,0.125000,0.425000,0.325000
phi3:mini,20,1,0,80,,1,1,1,0.137500,0.200000,0.375000
phi3:mini,20,1,0,80,,1,1,1,0.112500,0.312500,0.325000
phi3:mini,20,1,0,80,,1,1,1,0.050000,0.362500,0.225000
phi3:mini,20,1,0,80,,1,1,1,0.100000,0.437500,0.237500
phi3:mini,20,1,0,80,,1,1,1,0.137500,0.287500,0.325000
phi3:mini,20,1,0,80,,1,1,1,0.075000,0.337500,0.237500
phi3:mini,20,1,0,80,,1,1,1,0.162500,0.450000,0.237500
phi3:mini,20,1,0,80,,1,1,1,0.137500,0.225000,0.362500
phi3:mini,10,1,0,80,,1,1,1,0.125000,0.175000,0.375000
phi3:mini,10,1,0,80,,1,1,1,0.075000,0.337500,0.300000
phi3:mini,10,1,0,80,,1,1,1,0.087500,0.275000,0.375000
phi3:mini,10,1,0,80,,1,1,1,0.062500,0.425000,0.212500
phi3:mini,10,1,0,80,,1,1,1,0.175000,0.175000,0.375000
phi3:mini,10,1,0,80,,1,1,1,0.062500,0.437500,0.362500
phi3:mini,10,1,0,80,,1,1,1,0.150000,0.325000,0.300000
phi3:mini,10,1,0,80,,1,1,1,0.162500,0.275000,0.275000
phi3:mini,10,1,0,80,,1,1,1,0.100000,0.300000,0.450000
phi3:mini,10,1,0,80,,1,1,1,0.150000,0.325000,0.325000
gpt-oss:20b,0,1,0,60,,1,1,1,0.106383,0.446809,0.212766
gpt-oss:20b,0,1,0,60,,1,1,1,0.062500,0.250000,0.312500
gpt-oss:20b,0,1,0,60,,1,1,1,0.156250,0.187500,0.343750
gpt-oss:20b,0,1,0,60,,1,1,1,0.066667,0.650000,0.216667
gpt-oss:20b,0,1,0,60,,1,1,1,0.133333,0.400000,0.166667
gpt-oss:20b,0,1,0,60,,1,1,1,0.054054,0.351351,0.162162
gpt-oss:20b,0,1,0,60,,1,1,1,0.100000,0.400000,0.260000
gpt-oss:20b,0,1,0,60,,1,1,1,0.033333,0.266667,0.233333
gpt-oss:20b,0,1,0,60,,1,1,1,0.222222,0.185185,0.370370
gpt-oss:20b,0,1,0,60,,1,1,1,0.083333,0.633333,0.216667
gpt-oss:20b,5,1,0,60,,1,1,1,0.178571,0.214286,0.464286
gpt-oss:20b,5,1,0,60,,1,1,1,0.100000,0.333333,0.233333
gpt-oss:20b,5,1,0,60,,1,1,1,0.066667,0.683333,0.200000
gpt-oss:20b,5,1,0,60,,1,1,1,0.107143,0.357143,0.357143
gpt-oss:20b,5,1,0,60,,1,1,1,0.033333,0.666667,0.183333
gpt-oss:20b,5,1,0,60,,1,1,1,0.116667,0.466667,0.233333
gpt-oss:20b,5,1,0,60,,1,1,1,0.078431,0.568627,0.196078
gpt-oss:20b,5,1,0,60,,1,1,1,0.066667,0.700000,0.183333
gpt-oss:20b,5,1,0,60,,1,1,1,0.153846,0.307692,0.384615
gpt-oss:20b,5,1,0,60,,1,1,1,0.083333,0.783333,0.183333
gpt-oss:20b,10,1,0,60,,1,1,1,0.098039,0.411765,0.254902
gpt-oss:20b,10,1,0,60,,1,1,1,0.133333,0.366667,0.366667
gpt-oss:20b,10,1,0,60,,1,1,1,0.114286,0.485714,0.142857
gpt-oss:20b,10,1,0,60,,1,1,1,0.068966,0.379310,0.206897
gpt-oss:20b,10,1,0,60,,1,1,1,0.194444,0.222222,0.305556
gpt-oss:20b,10,1,0,60,,1,1,1,0.083333,0.500000,0.270833
gpt-oss:20b,10,1,0,60,,1,1,1,0.100000,0.566667,0.216667
gpt-oss:20b,10,1,0,60,,1,1,1,0.083333,0.333333,0.350000
gpt-oss:20b,10,1,0,60,,1,1,1,0.100000,0.300000,0.350000
gpt-oss:20b,10,1,0,60,,1,1,1,0.050000,0.666667,0.216667
gpt-oss:20b,20,1,0,60,,1,1,1,0.170732,0.317073,0.292683
gpt-oss:20b,20,1,0,60,,1,1,1,0.133333,0.400000,0.233333
gpt-oss:20b,20,1,0,60,,1,1,1,0.086957,0.434783,0.195652
gpt-oss:20b,20,1,0,60,,1,1,1,0.083333,0.583333,0.216667
gpt-oss:20b,20,1,0,60,,1,1,1,0.066667,0.716667,0.166667
gpt-oss:20b,20,1,0,60,,1,1,1,0.156863,0.333333,0.313725
gpt-oss:20b,20,1,0,60,,1,1,1,0.153846,0.282051,0.333333
gpt-oss:20b,20,1,0,60,,1,1,1,0.115385,0.307692,0.269231
gpt-oss:20b,20,1,0,60,,1,1,1,0.111111,0.333333,0.259259
gpt-oss:20b,20,1,0,60,,1,1,1,0.100000,0.300000,0.300000
gpt-oss:20b,0,1,0,80,,1,1,1,0.112500,0.425000,0.337500
gpt-oss:20b,0,1,0,80,,1,1,1,0.075000,0.487500,0.275000
gpt-oss:20b,0,1,0,80,,1,1,1,0.147059,0.411765,0.323529
gpt-oss:20b,0,1,0,80,,1,1,1,0.129870,0.402597,0.363636
gpt-oss:20b,0,1,0,80,,1,1,1,0.062500,0.525000,0.300000
gpt-oss:20b,0,1,0,80,,1,1,1,0.062500,0.537500,0.262500
gpt-oss:20b,0,1,0,80,,1,1,1,0.075000,0.550000,0.250000
gpt-oss:20b,0,1,0,80,,1,1,1,0.102941,0.470588,0.279412
gpt-oss:20b,0,1,0,80,,1,1,1,0.087500,0.425000,0.362500
gpt-oss:20b,0,1,0,80,,1,1,1,0.087500,0.462500,0.287500
gpt-oss:20b,5,1,0,80,,1,1,1,0.112500,0.512500,0.262500
gpt-oss:20b,5,1,0,80,,1,1,1,0.062500,0.587500,0.200000
gpt-oss:20b,5,1,0,80,,1,1,1,0.087500,0.512500,0.262500
gpt-oss:20b,5,1,0,80,,1,1,1,0.050000,0.700000,0.212500
gpt-oss:20b,5,1,0,80,,1,1,1,0.050000,0.562500,0.300000
gpt-oss:20b,5,1,0,80,,1,1,1,0.037500,0.612500,0.250000
gpt-oss:20b,5,1,0,80,,1,1,1,0.062500,0.600000,0.262500
gpt-oss:20b,5,1,0,80,,1,1,1,0.100000,0.562500,0.312500
gpt-oss:20b,5,1,0,80,,1,1,1,0.062500,0.562500,0.312500
gpt-oss:20b,5,1,0,80,,1,1,1,0.131148,0.508197,0.278689
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.612500,0.262500
gpt-oss:20b,10,1,0,80,,1,1,1,0.100000,0.550000,0.237500
gpt-oss:20b,10,1,0,80,,1,1,1,0.100000,0.425000,0.425000
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.462500,0.350000
gpt-oss:20b,10,1,0,80,,1,1,1,0.087500,0.500000,0.350000
gpt-oss:20b,10,1,0,80,,1,1,1,0.087500,0.600000,0.300000
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.637500,0.312500
gpt-oss:20b,10,1,0,80,,1,1,1,0.050000,0.662500,0.212500
gpt-oss:20b,10,1,0,80,,1,1,1,0.087500,0.475000,0.437500
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.637500,0.175000
gpt-oss:20b,20,1,0,80,,1,1,1,0.142857,0.314286,0.342857
gpt-oss:20b,20,1,0,80,,1,1,1,0.037500,0.600000,0.237500
gpt-oss:20b,20,1,0,80,,1,1,1,0.114754,0.344262,0.311475
gpt-oss:20b,20,1,0,80,,1,1,1,0.037500,0.700000,0.225000
gpt-oss:20b,20,1,0,80,,1,1,1,0.111111,0.587302,0.269841
gpt-oss:20b,20,1,0,80,,1,1,1,0.062500,0.637500,0.237500
gpt-oss:20b,20,1,0,80,,1,1,1,0.153846,0.384615,0.358974
gpt-oss:20b,20,1,0,80,,1,1,1,0.087500,0.500000,0.287500
gpt-oss:20b,20,1,0,80,,1,1,1,0.075000,0.625000,0.225000
gpt-oss:20b,20,1,0,80,,1,1,1,0.087500,0.475000,0.262500
gpt-oss:20b,10,1,0,80,,1,1,1,0.100000,0.537500,0.287500
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.587500,0.250000
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.537500,0.237500
gpt-oss:20b,10,1,0,80,,1,1,1,0.037500,0.675000,0.275000
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.587500,0.275000
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.612500,0.287500
gpt-oss:20b,10,1,0,80,,1,1,1,0.100000,0.600000,0.200000
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.625000,0.212500
gpt-oss:20b,10,1,0,80,,1,1,1,0.075000,0.462500,0.325000
gpt-oss:20b,10,1,0,80,,1,1,1,0.062500,0.500000,0.312500
