run_id,model,history_steps,local_grid,structured_output,max_steps,reached_goal,final_distance,min_distance,invalid_move_rate,loop_rate,fallback_rate
run_20260220_002435_3,phi3:mini,5,True,False,60,False,5,3,0.18333333333333332,0.21666666666666667,0.48333333333333334
run_20260220_002435_4,phi3:mini,5,True,False,60,False,3,1,0.15,0.11666666666666667,0.38333333333333336
run_20260220_002435_5,phi3:mini,5,True,False,60,True,0,0,0.07692307692307693,0.15384615384615385,0.4230769230769231
run_20260220_002435_6,phi3:mini,5,True,False,60,False,11,7,0.08333333333333333,0.11666666666666667,0.65
run_20260220_002435_7,phi3:mini,5,True,False,60,False,4,2,0.03333333333333333,0.13333333333333333,0.55
run_20260220_002435_8,phi3:mini,5,True,False,60,False,5,2,0.21666666666666667,0.16666666666666666,0.4
run_20260220_002435_9,phi3:mini,5,True,False,60,False,6,3,0.3,0.13333333333333333,0.31666666666666665
run_20260220_004639_1,phi3:mini,10,True,False,60,False,4,4,0.3,0.13333333333333333,0.26666666666666666
run_20260220_004639_10,phi3:mini,10,True,False,60,False,3,2,0.21666666666666667,0.2,0.35
run_20260220_004639_2,phi3:mini,10,True,False,60,False,5,2,0.25,0.11666666666666667,0.45
run_20260220_004639_3,phi3:mini,10,True,False,60,False,8,6,0.23333333333333334,0.15,0.43333333333333335
run_20260220_004639_4,phi3:mini,10,True,False,60,False,9,7,0.25,0.18333333333333332,0.3
run_20260220_004639_5,phi3:mini,10,True,False,60,False,6,3,0.23333333333333334,0.2,0.4166666666666667
run_20260220_004639_6,phi3:mini,10,True,False,60,False,3,2,0.25,0.13333333333333333,0.45
run_20260220_004639_7,phi3:mini,10,True,False,60,False,5,3,0.18333333333333332,0.16666666666666666,0.3333333333333333
run_20260220_004639_8,phi3:mini,10,True,False,60,False,5,5,0.2833333333333333,0.15,0.31666666666666665
run_20260220_004639_9,phi3:mini,10,True,False,60,False,2,1,0.2,0.16666666666666666,0.3
run_20260220_012551_1,phi3:mini,20,True,False,60,False,11,4,0.2833333333333333,0.18333333333333332,0.4
run_20260220_012551_10,phi3:mini,20,True,False,60,False,7,2,0.31666666666666665,0.11666666666666667,0.31666666666666665
run_20260220_012551_2,phi3:mini,20,True,False,60,True,0,0,0.23333333333333334,0.16666666666666666,0.35
run_20260220_012551_3,phi3:mini,20,True,False,60,False,6,1,0.1,0.16666666666666666,0.45
run_20260220_012551_4,phi3:mini,20,True,False,60,False,8,7,0.3,0.15,0.3333333333333333
run_20260220_012551_5,phi3:mini,20,True,False,60,False,2,2,0.2,0.16666666666666666,0.4166666666666667
run_20260220_012551_6,phi3:mini,20,True,False,60,False,8,1,0.16666666666666666,0.16666666666666666,0.36666666666666664
run_20260220_012551_7,phi3:mini,20,True,False,60,False,8,6,0.16666666666666666,0.2,0.45
run_20260220_012551_8,phi3:mini,20,True,False,60,True,0,0,0.2972972972972973,0.10810810810810811,0.32432432432432434
run_20260220_012551_9,phi3:mini,20,True,False,60,False,6,1,0.2,0.13333333333333333,0.36666666666666664
run_20260220_021047_1,phi3:mini,0,True,False,80,False,10,9,0.125,0.1625,0.525
run_20260220_021047_10,phi3:mini,0,True,False,80,False,7,4,0.2625,0.1875,0.4125
run_20260220_021047_2,phi3:mini,0,True,False,80,False,11,7,0.2625,0.15,0.4
run_20260220_021047_3,phi3:mini,0,True,False,80,False,8,6,0.35,0.1125,0.325
run_20260220_021047_4,phi3:mini,0,True,False,80,False,12,9,0.45,0.1,0.2125
run_20260220_021047_5,phi3:mini,0,True,False,80,False,13,5,0.2625,0.1,0.375
run_20260220_021047_6,phi3:mini,0,True,False,80,False,13,6,0.2375,0.125,0.475
run_20260220_021047_7,phi3:mini,0,True,False,80,False,15,10,0.2375,0.15,0.475
run_20260220_021047_8,phi3:mini,0,True,False,80,False,8,7,0.325,0.1125,0.325
run_20260220_021047_9,phi3:mini,0,True,False,80,False,9,8,0.2625,0.175,0.4
run_20260220_035059_1,phi3:mini,5,True,False,80,False,13,11,0.3875,0.05,0.275
run_20260220_035059_10,phi3:mini,5,True,False,80,False,6,1,0.25,0.1375,0.2875
run_20260220_035059_2,phi3:mini,5,True,False,80,False,10,10,0.325,0.0875,0.3
run_20260220_035059_3,phi3:mini,5,True,False,80,True,0,0,0.3055555555555556,0.125,0.2916666666666667
run_20260220_035059_4,phi3:mini,5,True,False,80,False,13,12,0.3875,0.0625,0.275
run_20260220_035059_5,phi3:mini,5,True,False,80,False,7,5,0.3375,0.1125,0.3
run_20260220_035059_6,phi3:mini,5,True,False,80,False,9,5,0.2875,0.1125,0.275
run_20260220_035059_7,phi3:mini,5,True,False,80,False,15,12,0.5375,0.0625,0.225
run_20260220_035059_8,phi3:mini,5,True,False,80,False,8,5,0.225,0.125,0.2875
run_20260220_035059_9,phi3:mini,5,True,False,80,False,12,8,0.325,0.1,0.3
run_20260220_042348_1,phi3:mini,10,True,False,80,False,13,4,0.2625,0.125,0.25
run_20260220_042348_10,phi3:mini,10,True,False,80,False,13,9,0.3625,0.125,0.25
run_20260220_042348_2,phi3:mini,10,True,False,80,False,13,11,0.2875,0.1375,0.25
run_20260220_042348_3,phi3:mini,10,True,False,80,False,4,4,0.275,0.1125,0.2875
run_20260220_042348_4,phi3:mini,10,True,False,80,False,2,2,0.375,0.1,0.1875
run_20260220_042348_5,phi3:mini,10,True,False,80,False,11,11,0.3875,0.0625,0.3375
run_20260220_042348_6,phi3:mini,10,True,False,80,False,9,5,0.3125,0.1125,0.3375
run_20260220_042348_7,phi3:mini,10,True,False,80,False,15,8,0.4125,0.1375,0.25
run_20260220_042348_8,phi3:mini,10,True,False,80,False,12,11,0.35,0.1,0.3
